Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz.   
Vardas773           Pavarde773          7      2      6      1      9      2      6      5      2      3      2      
Vardas774           Pavarde774          10     10     8      2      2      2      5      10     10     4      4      
Vardas775           Pavarde775          8      10     9      7      4      3      6      9      7      2      10     
Vardas776           Pavarde776          3      7      9      3      2      6      3      7      8      9      8      
Vardas777           Pavarde777          3      8      1      10     5      10     9      10     2      3      5      
Vardas778           Pavarde778          6      5      4      10     4      3      3      8      3      1      1      
Vardas779           Pavarde779          8      7      6      8      2      9      9      3      2      3      5      
Vardas780           Pavarde780          8      4      3      6      8      8      3      4      5      6      8      
Vardas781           Pavarde781          4      8      1      8      3      4      4      9      9      3      1      
Vardas782           Pavarde782          5      5      6      10     1      3      9      2      2      4      1      
Vardas783           Pavarde783          6      6      2      10     8      5      2      3      6      6      1      
Vardas784           Pavarde784          3      2      1      2      5      9      2      7      5      3      6      
Vardas785           Pavarde785          7      6      10     10     4      1      4      7      3      9      9      
Vardas786           Pavarde786          5      10     4      6      1      7      5      5      7      7      7      
Vardas787           Pavarde787          4      7      4      2      1      6      2      6      4      8      9      
Vardas788           Pavarde788          6      4      9      10     10     8      7      9      7      7      8      
Vardas789           Pavarde789          8      2      6      4      1      4      5      3      2      10     5      
Vardas790           Pavarde790          9      3      1      8      10     10     8      1      5      6      4      
Vardas791           Pavarde791          8      9      8      3      7      3      3      7      3      2      7      
Vardas792           Pavarde792          10     5      4      10     10     5      3      5      9      8      2      
Vardas793           Pavarde793          7      1      8      2      3      4      2      6      9      2      7      
Vardas794           Pavarde794          6      2      2      10     9      1      3      10     6      1      8      
Vardas795           Pavarde795          1      2      1      7      5      7      8      7      6      5      10     
Vardas796           Pavarde796          8      6      10     3      9      6      9      2      2      1      10     
Vardas797           Pavarde797          9      2      4      6      7      3      8      4      3      3      8      
Vardas798           Pavarde798          2      2      10     10     9      4      9      6      9      6      9      
Vardas799           Pavarde799          7      3      3      6      4      2      2      3      7      9      5      
Vardas800           Pavarde800          3      6      3      7      2      8      7      1      9      2      5      
Vardas801           Pavarde801          10     4      8      9      1      7      4      2      3      10     9      
Vardas802           Pavarde802          5      9      1      5      5      1      7      4      10     8      1      
Vardas803           Pavarde803          4      8      10     1      8      3      7      5      8      9      2      
Vardas804           Pavarde804          2      3      9      10     10     1      8      7      3      5      7      
Vardas805           Pavarde805          6      6      7      4      3      4      7      7      2      7      1      
Vardas806           Pavarde806          9      9      3      8      6      8      10     2      6      5      4      
Vardas807           Pavarde807          9      8      6      8      7      4      10     9      10     6      8      
Vardas808           Pavarde808          5      3      8      3      9      6      9      10     7      6      1      
Vardas809           Pavarde809          3      10     2      5      3      1      4      10     1      6      8      
Vardas810           Pavarde810          9      9      3      2      10     8      7      7      10     6      10     
Vardas811           Pavarde811          6      9      7      5      2      5      10     6      8      6      10     
Vardas812           Pavarde812          2      10     7      8      8      7      9      6      8      8      7      
Vardas813           Pavarde813          3      4      6      1      6      5      4      6      5      2      2      
Vardas814           Pavarde814          6      1      9      3      5      3      5      9      8      5      9      
Vardas815           Pavarde815          8      10     5      7      2      8      8      5      9      1      1      
Vardas816           Pavarde816          8      4      4      1      4      6      8      10     7      5      2      
Vardas817           Pavarde817          3      2      5      5      4      7      3      10     8      3      1      
Vardas818           Pavarde818          10     4      6      1      7      5      2      3      8      6      8      
Vardas819           Pavarde819          6      3      2      5      8      2      10     4      6      2      6      
Vardas820           Pavarde820          3      7      7      10     3      7      4      5      3      5      3      
Vardas821           Pavarde821          7      5      6      4      5      8      6      1      1      10     4      
Vardas822           Pavarde822          8      8      9      7      1      9      2      2      8      3      6      
Vardas823           Pavarde823          2      2      5      7      3      4      9      2      7      9      8      
Vardas824           Pavarde824          2      7      10     6      5      2      9      9      3      4      7      
Vardas825           Pavarde825          3      8      6      9      9      2      10     1      1      8      1      
Vardas826           Pavarde826          10     4      3      2      2      10     8      5      10     3      10     
Vardas827           Pavarde827          2      4      3      7      9      5      5      1      7      8      5      
Vardas828           Pavarde828          1      10     4      6      8      6      3      5      7      10     2      
Vardas829           Pavarde829          10     5      3      7      4      8      8      1      4      4      8      
Vardas830           Pavarde830          6      8      1      5      10     4      5      5      6      7      8      
Vardas831           Pavarde831          6      8      5      10     4      7      4      5      9      10     3      
Vardas832           Pavarde832          1      10     2      1      10     4      1      10     2      9      2      
Vardas833           Pavarde833          3      4      9      6      3      2      8      5      5      7      7      
Vardas834           Pavarde834          7      4      1      5      6      10     2      7      5      5      4      
Vardas835           Pavarde835          3      6      9      2      6      9      3      2      10     6      1      
Vardas836           Pavarde836          4      3      3      4      3      6      3      4      4      7      9      
Vardas837           Pavarde837          2      10     2      1      1      1      3      7      6      10     10     
Vardas838           Pavarde838          2      6      1      7      6      2      9      8      6      2      5      
Vardas839           Pavarde839          10     4      2      9      8      3      9      6      10     4      9      
Vardas840           Pavarde840          2      5      4      10     9      9      4      3      5      2      5      
Vardas841           Pavarde841          4      4      9      7      10     8      1      3      3      10     1      
Vardas842           Pavarde842          3      3      8      2      1      2      5      2      3      2      8      
Vardas843           Pavarde843          4      2      8      10     6      3      4      9      9      10     1      
Vardas844           Pavarde844          6      8      7      6      1      5      5      3      6      5      9      
Vardas845           Pavarde845          5      6      4      10     1      10     2      3      3      6      8      
Vardas846           Pavarde846          2      5      10     9      10     7      4      7      8      8      4      
Vardas847           Pavarde847          3      3      4      7      7      6      6      3      8      6      3      
Vardas848           Pavarde848          4      10     4      9      5      10     4      7      8      1      5      
Vardas849           Pavarde849          3      5      7      9      10     4      5      1      8      2      8      
Vardas850           Pavarde850          6      3      8      10     1      8      3      8      1      10     5      
Vardas851           Pavarde851          4      7      5      8      5      9      3      4      2      7      5      
Vardas852           Pavarde852          4      7      10     5      5      4      9      7      9      4      10     
Vardas853           Pavarde853          1      8      8      7      6      8      1      9      5      10     4      
Vardas854           Pavarde854          3      5      3      4      2      4      3      1      7      3      3      
Vardas855           Pavarde855          4      8      10     8      6      8      1      1      6      7      7      
Vardas856           Pavarde856          6      2      7      1      10     4      2      8      8      3      10     
Vardas857           Pavarde857          7      8      5      7      1      8      7      10     8      6      1      
Vardas858           Pavarde858          6      5      4      8      2      6      5      5      5      7      8      
Vardas859           Pavarde859          5      10     8      7      9      5      10     10     4      5      2      
Vardas860           Pavarde860          6      6      4      4      9      9      6      3      3      3      4      
Vardas861           Pavarde861          4      8      5      9      1      2      2      6      8      7      10     
Vardas862           Pavarde862          10     4      3      9      5      5      5      4      5      8      3      
Vardas863           Pavarde863          2      2      6      9      7      8      9      6      5      8      7      
Vardas864           Pavarde864          2      7      4      10     5      7      10     4      10     1      8      
Vardas865           Pavarde865          9      3      9      10     2      4      2      8      3      7      5      
Vardas866           Pavarde866          6      4      3      2      8      5      8      1      9      2      6      
Vardas867           Pavarde867          3      6      8      8      7      4      4      8      5      2      3      
Vardas868           Pavarde868          9      4      5      5      8      9      4      9      3      5      9      
Vardas869           Pavarde869          2      10     1      10     3      10     5      6      6      1      1      
Vardas870           Pavarde870          3      8      5      6      5      3      6      7      6      8      5      
Vardas871           Pavarde871          4      7      5      2      10     2      10     7      1      2      4      
Vardas872           Pavarde872          1      3      6      1      4      5      10     5      2      1      10     
Vardas873           Pavarde873          4      5      2      9      4      3      10     1      6      3      6      
Vardas874           Pavarde874          3      9      5      3      4      6      5      3      5      10     9      
Vardas875           Pavarde875          4      2      1      8      2      8      6      4      6      9      10     
Vardas876           Pavarde876          4      4      8      3      9      10     10     3      2      2      4      
Vardas877           Pavarde877          10     5      2      3      10     9      4      1      10     10     9      
Vardas878           Pavarde878          7      5      7      4      6      1      10     10     7      7      1      
Vardas879           Pavarde879          5      2      8      8      2      10     7      7      8      1      7      
Vardas880           Pavarde880          9      1      3      4      1      10     3      9      10     1      5      
Vardas881           Pavarde881          9      7      5      9      7      7      10     6      10     2      5      
Vardas882           Pavarde882          3      8      5      3      3      3      6      8      8      7      6      
Vardas883           Pavarde883          5      9      3      4      8      4      7      4      1      4      3      
Vardas884           Pavarde884          1      7      6      1      7      3      3      1      3      9      8      
Vardas885           Pavarde885          10     8      7      5      4      3      8      2      2      9      9      
Vardas886           Pavarde886          10     10     3      10     9      10     8      5      1      9      8      
Vardas887           Pavarde887          6      4      7      10     5      9      8      4      6      9      5      
Vardas888           Pavarde888          1      10     8      3      7      7      3      5      6      7      4      
Vardas889           Pavarde889          10     3      8      2      1      4      1      2      8      4      1      
Vardas890           Pavarde890          3      4      2      8      8      6      1      1      5      1      1      
Vardas891           Pavarde891          4      10     5      8      8      1      1      3      10     8      2      
Vardas892           Pavarde892          6      5      8      2      1      8      8      9      9      6      3      
Vardas893           Pavarde893          5      3      4      2      4      8      2      7      1      8      8      
Vardas894           Pavarde894          1      7      7      3      9      7      1      3      3      6      5      
Vardas895           Pavarde895          9      3      9      6      1      9      3      4      8      9      3      
Vardas896           Pavarde896          1      2      10     8      7      5      4      4      9      10     9      
Vardas897           Pavarde897          10     8      9      10     3      7      9      10     2      4      9      
Vardas898           Pavarde898          3      7      7      10     2      8      3      8      3      7      8      
Vardas899           Pavarde899          7      6      10     3      8      3      7      1      1      2      1      
Vardas900           Pavarde900          8      8      4      3      6      3      8      10     1      2      2      
Vardas901           Pavarde901          4      5      5      9      1      4      4      9      8      5      2      
Vardas902           Pavarde902          3      1      10     2      6      4      4      8      7      3      1      
Vardas903           Pavarde903          5      4      5      5      10     6      8      3      7      8      1      
Vardas904           Pavarde904          2      4      1      8      3      9      4      1      3      7      1      
Vardas905           Pavarde905          2      9      4      1      8      2      8      1      2      3      3      
Vardas906           Pavarde906          9      9      3      8      6      1      4      3      2      2      5      
Vardas907           Pavarde907          1      3      1      4      5      3      8      6      6      5      2      
Vardas908           Pavarde908          7      8      7      8      3      9      9      2      2      3      2      
Vardas909           Pavarde909          6      5      8      2      10     8      8      6      8      7      7      
Vardas910           Pavarde910          2      10     3      10     7      8      10     6      1      6      7      
Vardas911           Pavarde911          3      1      7      3      6      8      8      6      4      7      3      
Vardas912           Pavarde912          4      9      9      9      5      6      3      8      9      4      5      
Vardas913           Pavarde913          3      1      10     10     8      1      4      5      4      5      9      
Vardas914           Pavarde914          3      1      9      3      1      7      5      6      7      9      10     
Vardas915           Pavarde915          6      2      1      2      5      3      1      5      7      9      2      
Vardas916           Pavarde916          1      4      1      4      5      9      6      7      4      4      8      
Vardas917           Pavarde917          8      3      6      7      3      3      9      8      8      10     2      
Vardas918           Pavarde918          1      5      1      9      1      6      3      8      3      8      2      
Vardas919           Pavarde919          4      5      7      1      8      7      7      6      9      9      1      
Vardas920           Pavarde920          3      3      3      9      6      3      2      2      5      3      5      
Vardas921           Pavarde921          6      1      4      10     7      6      9      4      2      1      4      
Vardas922           Pavarde922          1      2      3      1      8      10     1      4      8      5      9      
Vardas923           Pavarde923          2      6      8      6      6      2      2      4      6      2      5      
Vardas924           Pavarde924          4      7      6      9      9      7      6      1      6      7      7      
Vardas925           Pavarde925          5      9      5      4      8      7      2      10     7      3      5      
Vardas926           Pavarde926          1      5      10     6      3      3      9      1      6      2      2      
Vardas927           Pavarde927          8      2      5      1      8      4      6      6      1      10     6      
Vardas928           Pavarde928          4      3      8      6      7      6      2      10     9      4      1      
Vardas929           Pavarde929          8      2      6      7      5      1      10     6      1      7      1      
Vardas930           Pavarde930          5      6      2      2      7      6      1      1      8      7      3      
Vardas931           Pavarde931          3      2      4      2      5      2      6      7      2      6      10     
Vardas932           Pavarde932          9      2      1      4      7      8      10     8      9      7      10     
Vardas933           Pavarde933          6      9      8      6      10     5      6      1      4      8      9      
Vardas934           Pavarde934          6      7      10     5      5      3      5      10     3      5      3      
Vardas935           Pavarde935          9      10     5      3      8      3      3      2      10     7      5      
Vardas936           Pavarde936          8      10     6      7      7      4      5      6      9      2      4      
Vardas937           Pavarde937          2      9      8      2      9      8      3      2      2      5      4      
Vardas938           Pavarde938          9      7      9      2      2      1      3      10     2      8      9      
Vardas939           Pavarde939          3      2      1      8      9      10     3      3      10     7      2      
Vardas940           Pavarde940          2      9      8      1      3      3      6      4      4      8      7      
Vardas941           Pavarde941          4      3      10     4      5      4      10     9      8      8      3      
Vardas942           Pavarde942          1      5      2      9      5      8      1      1      5      3      3      
Vardas943           Pavarde943          4      9      10     9      7      2      9      2      1      2      7      
Vardas944           Pavarde944          7      4      4      8      2      1      9      8      3      7      1      
Vardas945           Pavarde945          7      9      8      7      10     4      5      2      1      1      2      
Vardas946           Pavarde946          7      1      3      2      1      8      7      2      2      3      8      
Vardas947           Pavarde947          3      10     10     2      2      6      10     3      10     2      3      
Vardas948           Pavarde948          2      5      3      9      9      4      10     7      4      6      7      
Vardas949           Pavarde949          6      3      6      3      7      6      7      3      6      4      6      
Vardas950           Pavarde950          7      8      1      6      7      6      4      7      1      2      10     
Vardas951           Pavarde951          5      4      2      7      8      6      1      9      8      7      1      
Vardas952           Pavarde952          4      5      4      10     3      4      8      8      7      2      8      
Vardas953           Pavarde953          4      9      2      3      6      2      3      3      2      10     1      
Vardas954           Pavarde954          1      7      5      5      8      2      3      10     9      3      1      
Vardas955           Pavarde955          1      10     2      5      10     2      3      2      1      6      8      
Vardas956           Pavarde956          1      10     6      6      2      10     10     9      7      1      8      
Vardas957           Pavarde957          2      3      4      5      2      3      1      4      1      3      6      
Vardas958           Pavarde958          2      5      8      8      7      5      4      6      8      5      10     
Vardas959           Pavarde959          4      9      9      6      7      4      1      9      1      10     7      
Vardas960           Pavarde960          9      8      8      8      1      10     1      4      5      9      5      
Vardas961           Pavarde961          1      3      6      2      5      10     6      3      4      8      3      
Vardas962           Pavarde962          1      2      7      8      9      9      3      6      1      5      10     
Vardas963           Pavarde963          10     10     6      2      10     7      5      3      2      8      3      
Vardas964           Pavarde964          6      4      9      9      6      7      3      2      4      6      2      
Vardas965           Pavarde965          4      2      6      2      9      9      7      10     10     8      10     
Vardas966           Pavarde966          8      10     10     1      10     5      1      7      6      3      9      
Vardas967           Pavarde967          5      1      3      6      2      2      3      9      2      10     9      
Vardas968           Pavarde968          6      10     8      3      9      4      8      9      9      3      3      
Vardas969           Pavarde969          9      10     4      4      5      2      6      9      2      5      2      
Vardas970           Pavarde970          7      4      9      3      6      3      10     10     5      10     5      
Vardas971           Pavarde971          2      9      5      8      7      9      5      8      3      6      6      
Vardas972           Pavarde972          2      6      10     10     7      6      4      9      10     3      3      
Vardas973           Pavarde973          3      7      6      8      10     2      4      7      10     3      6      
Vardas974           Pavarde974          9      7      1      6      8      7      6      8      6      7      10     
Vardas975           Pavarde975          8      1      4      5      6      3      8      6      3      10     6      
Vardas976           Pavarde976          4      6      7      10     3      7      10     9      4      1      1      
Vardas977           Pavarde977          4      6      9      1      7      7      1      7      9      8      10     
Vardas978           Pavarde978          9      8      6      7      10     5      4      7      3      8      4      
Vardas979           Pavarde979          7      1      6      7      8      8      7      9      1      5      10     
Vardas980           Pavarde980          9      9      2      8      4      7      4      8      5      6      7      
Vardas981           Pavarde981          9      1      5      8      4      6      9      1      7      10     2      
Vardas982           Pavarde982          10     1      10     7      10     10     2      10     8      2      3      
Vardas983           Pavarde983          3      2      5      5      5      8      1      9      4      1      5      
Vardas984           Pavarde984          6      1      5      2      10     5      7      8      3      8      2      
Vardas985           Pavarde985          7      4      8      7      8      7      9      3      9      7      7      
Vardas986           Pavarde986          5      9      4      9      2      3      6      7      4      5      5      
Vardas987           Pavarde987          1      1      6      1      9      7      1      4      4      6      3      
Vardas988           Pavarde988          4      1      3      2      10     9      6      3      1      3      6      
Vardas989           Pavarde989          5      7      1      4      10     7      10     10     8      9      4      
Vardas990           Pavarde990          1      9      7      7      7      5      8      6      2      4      7      
Vardas991           Pavarde991          7      10     3      10     5      9      10     9      2      10     1      
Vardas992           Pavarde992          1      4      3      5      9      2      2      2      1      3      6      
Vardas993           Pavarde993          9      6      9      10     4      9      8      1      9      6      5      
Vardas994           Pavarde994          2      7      8      1      9      9      8      9      1      3      5      
Vardas995           Pavarde995          9      5      5      9      2      10     10     2      3      4      9      
Vardas996           Pavarde996          2      1      7      4      7      6      6      4      3      8      3      
Vardas997           Pavarde997          7      8      10     1      1      5      1      3      8      6      10     
Vardas998           Pavarde998          10     9      8      10     9      1      2      4      5      1      9      
Vardas999           Pavarde999          5      9      8      4      1      8      8      7      5      4      5      
Vardas1000          Pavarde1000         2      10     10     1      1      7      7      10     1      9      9      
